collegeName,Conference
Boston College,ACC
Clemson,ACC
Duke,ACC
Florida State,ACC
Georgia Tech,ACC
Louisville,ACC
Miami,ACC
North Carolina,ACC
NC State,ACC
Pittsburgh,ACC
Syracuse,ACC
Virginia,ACC
Virginia Tech,ACC
Wake Forest,ACC
Notre Dame,ACC
Illinois,BigTen
Indiana,BigTen
Iowa,BigTen
Maryland,BigTen
Michigan,BigTen
Michigan State,BigTen
Minnesota,BigTen
Nebraska,BigTen
Northwestern,BigTen
Ohio State,BigTen
Penn State,BigTen
Purdue,BigTen
Rutgers,BigTen
Wisconsin,BigTen
Baylor,Big12
Iowa State,Big12
Kansas,Big12
Kansas State,Big12
Oklahoma,Big12
Oklahoma State,Big12
TCU,Big12
Texas,Big12
Texas Tech,Big12
West Virginia,Big12
Arizona,Pac12
Arizona State,Pac12
California,Pac12
UCLA,Pac12
Colorado,Pac12
Oregon,Pac12
Oregon State,Pac12
USC,Pac12
Stanford,Pac12
Utah,Pac12
Washington,Pac12
Washington State,Pac12
Alabama,SEC
Arkansas,SEC
Auburn,SEC
Florida,SEC
Georgia,SEC
Kentucky,SEC
LSU,SEC
Ole Miss,SEC
Mississippi State,SEC
Missouri,SEC
South Carolina,SEC
Tennessee,SEC
Texas A&M,SEC
Vanderbilt,SEC
