nflId,compPercent,height,weight,birthDate,collegeName,position,displayName,heightInches,numberOfPlaysAsClosestDefender,ageYears,avg_speed,avg_accel,max_speed,max_accel,ACC,Big12,BigTen,other_conf,Pac12,SEC,isPowerFive,Cornerbacks,Linebackers,Safeties,perfomanceBin
2558176,0.381818182,72,202,12/10/1993,Alabama,FS,Eddie Jackson,72,55,24.07671233,6.494543934,3.795777407,20.33227,17.46857,0,0,0,0,0,1,1,0,0,1,Elite
2533062,0.435294118,73,202,9/19/1990,South Carolina,CB,Stephon Gilmore,73,87,27.30410959,6.820457295,3.835797604,21.375475,20.57773,0,0,0,0,0,1,1,1,0,0,Elite
2540288,0.444444444,72,190,1/1/1991,Mississippi State,CB,Darius Slay,72,92,27.01917808,7.172806609,3.952332515,21.88685,18.389045,0,0,0,0,0,1,1,1,0,0,Elite
2533060,0.449275362,74,190,10/26/1989,Alabama,CB,Dre Kirkpatrick,74,72,28.20273973,6.579966948,4.054208091,21.702755,25.466475,0,0,0,0,0,1,1,1,0,0,Elite
2555539,0.453125,73,200,7/4/1993,Baylor,CB,Xavien Howard,73,65,24.51232877,6.812670951,3.962658569,21.80503,22.111855,0,1,0,0,0,0,1,1,0,0,Elite
2558067,0.462686567,72,197,7/8/1996,Alabama,CB,Marlon Humphrey,72,68,21.49863014,6.974434589,4.189626674,21.43684,19.248155,0,0,0,0,0,1,1,1,0,0,Elite
2560916,0.469879518,71,191,4/28/1997,Ohio State,CB,Denzel Ward,71,84,20.69315068,6.401841976,4.113379249,21.170925,21.007285,0,0,1,0,0,0,1,1,0,0,Elite
2555280,0.47,73,208,10/24/1994,Florida State,CB,Jalen Ramsey,73,101,23.20547945,6.842819457,3.97619571,21.96867,20.025445,1,0,0,0,0,0,1,1,0,0,Elite
2543637,0.480769231,71,190,5/17/1992,Oregon,CB,Terrance Mitchell,71,53,25.64383562,5.895815651,3.77977591,19.698165,16.52764,0,0,0,0,1,0,1,1,0,0,Elite
2506789,0.490909091,71,191,3/16/1983,Louisiana Tech,CB,Tramon Williams,71,56,34.82191781,6.485518283,3.882135299,20.066355,20.82319,0,0,0,1,0,0,0,1,0,0,Elite
2533059,0.5,71,192,2/7/1990,Louisiana State,CB,Morris Claiborne,71,77,27.91780822,6.90917838,4.064162318,20.57773,19.452705,0,0,0,1,0,0,0,1,0,0,Elite
2552265,0.5,71,194,1/22/1993,Oregon State,CB,Steven Nelson,71,107,24.95890411,6.881695153,3.948631764,21.170925,17.30493,0,0,0,0,1,0,1,1,0,0,Elite
2557979,0.5,73,213,10/17/1995,Louisiana State,SS,Jamal Adams,73,56,22.22465753,6.196136716,3.794920796,20.98683,16.916285,0,0,0,1,0,0,0,0,0,1,Elite
2558157,0.5,75,195,3/21/1995,Colorado,CB,Ahkello Witherspoon,75,71,22.8,6.862218551,3.997696795,20.98683,22.17322,0,0,0,0,1,0,1,1,0,0,Elite
2557867,0.507936508,71,192,1/16/1995,Louisiana State,CB,Tre'Davious White,71,65,22.97534247,6.642230054,4.031718791,20.90501,21.825485,0,0,0,1,0,0,0,1,0,0,Elite
2532861,0.508196721,71,192,9/9/1989,Vanderbilt,CB,Casey Hayward,71,62,28.33150685,6.552923273,3.767985226,21.02774,23.952805,0,0,0,0,0,1,1,1,0,0,Elite
2495504,0.509803922,73,203,7/11/1990,Louisiana State,CB,Patrick Peterson,73,51,27.49589041,6.202755361,3.665155312,20.598185,17.50948,0,0,0,1,0,0,0,1,0,0,Above Average
2307,0.511904762,10-May,196,2/10/1987,Boise State,CB,Orlando Scandrick,70,87,30.91232877,6.563257901,3.832627969,20.270905,16.52764,0,0,0,1,0,0,0,1,0,0,Above Average
4365,0.514285714,72,210,5/19/1986,Grand Valley State,CB,Brandon Carr,72,72,31.64383562,6.553903596,4.013781103,22.930055,62.858215,0,0,0,1,0,0,0,1,0,0,Above Average
2543681,0.514563107,71,194,2/16/1992,Virginia Tech,CB,Kyle Fuller,71,104,25.89315068,6.571981796,3.839815301,21.39593,20.49591,1,0,0,0,0,0,1,1,0,0,Above Average
2556367,0.516666667,72,196,10/27/1992,Houston,CB,William Jackson,72,61,25.19726027,6.984771826,3.964947791,21.84594,16.793555,0,0,0,1,0,0,0,1,0,0,Above Average
